optimalnumber,probabilityrange,probability,capacity
2053,0.73011544752310942,0.1,200
1866,0.73278964637961519,0.11,200
1711,0.73549018156375534,0.12,200
1579,0.73822062212031603,0.13,200
1466,0.74097505688430387,0.14,200
1368,0.7437533355817848,0.15,200
1283,0.74657308351676099,0.16,200
1207,0.74940509269805522,0.17,200
1140,0.75227729768829765,0.18,200
1080,0.75517671363284111,0.19,200
1026,0.75810579246472176,0.2,200
977,0.76105829699365013,0.21,200
933,0.76405949740002765,0.22,200
892,0.76706557652416851,0.23,200
855,0.77012608283898865,0.24,200
821,0.77321323856069246,0.25,200
789,0.77630875444676262,0.26,200
760,0.77947059111635453,0.27,200
733,0.78265356309387879,0.28,200
708,0.78585741126470099,0.29,200
684,0.78910777023033107,0.3,200
662,0.79238893159479351,0.31,200
641,0.79567782129360931,0.32,200
622,0.79904866707370759,0.33,200
604,0.80240695997393163,0.34,200
586,0.80581267579880056,0.35,200
570,0.80929346381103284,0.36,200
555,0.81276078918394878,0.37,200
540,0.81629941005183748,0.38,200
526,0.81984075550824864,0.39,200
513,0.82344631316495787,0.4,200
501,0.82702384962330333,0.41,200
489,0.83070219178189653,0.42,200
477,0.83440414800631224,0.43,200
466,0.83809362278537591,0.44,200
456,0.84193165809647341,0.45,200
446,0.84572444880116182,0.46,200
437,0.84953422671004408,0.47,200
428,0.8533736228424269,0.48,200
419,0.85734187931234729,0.49,200
411,0.86116616311449112,0.5,200
402,0.86515094574975249,0.51,200
395,0.86921529415382359,0.52,200
387,0.87324363715454378,0.53,200
380,0.8773389602487931,0.54,200
373,0.88140692009639743,0.55,200
367,0.88542073530720278,0.56,200
360,0.88967232130562801,0.57,200
354,0.89383910611467787,0.58,200
348,0.89801841644312952,0.59,200
342,0.9021991384546787,0.6,200
337,0.9062734161536119,0.61,200
331,0.91062989935442251,0.62,200
326,0.91486188830379611,0.63,200
321,0.91907082427361364,0.64,200
316,0.92331579233930239,0.65,200
311,0.92752970929694223,0.66,200
306,0.93152067537545347,0.67,200
302,0.93593180804072562,0.68,200
298,0.93997094220967503,0.69,200
293,0.94403601290972361,0.7,200
289,0.94818883791926456,0.71,200
285,0.95220480178832079,0.72,200
281,0.95606947336337744,0.73,200
278,0.96002088429145838,0.74,200
274,0.96392840747356789,0.75,200
270,0.9674348023631496,0.76,200
267,0.97117466699376498,0.77,200
264,0.97441338499147812,0.78,200
260,0.97781488994877452,0.79,200
257,0.98098828495858359,0.8,200
254,0.98390736389329259,0.81,200
251,0.98661317840074769,0.82,200
248,0.98910297545604864,0.83,200
245,0.99134145272092322,0.84,200
242,0.99327672844098325,0.85,200
240,0.99492584177590626,0.86,200
237,0.99647159130001484,0.87,200
234,0.99758012197771584,0.88,200
232,0.99851644512050253,0.89,200
229,0.99910576329452772,0.9,200
227,0.99957380433241305,0.91,200
225,0.99982558611144201,0.92,200
223,0.9999450806255864,0.93,200
221,0.99998835699289412,0.94,200
220,0.99999928955987361,0.95,200
220,0.99999999412838791,0.96,200
220,0.99999999999300337,0.97,200
220,0.99999999999990452,0.98,200
220,0.99999999999991473,0.99,200
