optimalnumber,probabilityrange,probability,capacity
1383,0.62968222711551569,0.1,135
1258,0.63235886671316521,0.11,135
1153,0.63507030148640276,0.12,135
1064,0.63781429601275474,0.13,135
988,0.64059213576661533,0.14,135
922,0.6434037918751776,0.15,135
865,0.64624154304106207,0.16,135
814,0.64913154838348541,0.17,135
768,0.65204956522272073,0.18,135
728,0.65502254780714086,0.19,135
692,0.65800454321410229,0.2,135
659,0.66104621766096028,0.21,135
629,0.66412823228193341,0.22,135
601,0.66725096406384388,0.23,135
576,0.67041784116369829,0.24,135
553,0.67362706174898335,0.25,135
532,0.67688007483855717,0.26,135
512,0.68017114165714165,0.27,135
494,0.68351504816325914,0.28,135
477,0.68690010572933657,0.29,135
461,0.69033979481710317,0.3,135
446,0.69382385163167015,0.31,135
432,0.69735520966588327,0.32,135
419,0.70094325749356634,0.33,135
407,0.70454887702239588,0.34,135
395,0.70826852402001927,0.35,135
384,0.71201127324616331,0.36,135
374,0.71577603619748542,0.37,135
364,0.71965888851313364,0.38,135
355,0.72348000893189257,0.39,135
346,0.72749627882342371,0.4,135
337,0.73156222289101847,0.41,135
329,0.73566091113263155,0.42,135
322,0.73970791132923408,0.43,135
314,0.74402700904137431,0.44,135
307,0.74830605843924802,0.45,135
301,0.75255377325840422,0.46,135
294,0.75709330055004964,0.47,135
288,0.76159738698802204,0.48,135
282,0.76613982535829828,0.49,135
277,0.77057553537061163,0.5,135
271,0.77548357987127059,0.51,135
266,0.7802488245630409,0.52,135
261,0.78509561745723611,0.53,135
256,0.79004627719851139,0.54,135
251,0.7949046012668054,0.55,135
247,0.80012064453304366,0.56,135
243,0.80505534756900587,0.57,135
238,0.81036808168380781,0.58,135
234,0.81571944048524225,0.59,135
230,0.82101135843760975,0.6,135
227,0.82659434136951071,0.61,135
223,0.83233587472188353,0.62,135
219,0.83761867007553381,0.63,135
216,0.84371566778670126,0.64,135
213,0.84940798787368688,0.65,135
210,0.85499429795535442,0.66,135
206,0.86107873739810326,0.67,135
203,0.86714868908560505,0.68,135
200,0.87314185259751598,0.69,135
198,0.87935223977444765,0.7,135
195,0.88589359651876398,0.71,135
192,0.89223194079483825,0.72,135
190,0.89801628414136592,0.73,135
187,0.90499351911922721,0.74,135
184,0.91078457601632523,0.75,135
182,0.91781531160028207,0.76,135
180,0.92406676549182809,0.77,135
177,0.93006808184194845,0.78,135
175,0.93685670189178905,0.79,135
173,0.94329622491288778,0.8,135
171,0.94950847405365923,0.81,135
169,0.95555880490954348,0.82,135
167,0.96145342240264831,0.83,135
165,0.96713957019554808,0.84,135
163,0.97251072177114251,0.85,135
161,0.97741971909471848,0.86,135
159,0.98170316902954025,0.87,135
158,0.98642151028111724,0.88,135
156,0.99023791428440189,0.89,135
154,0.99298286123153667,0.9,135
153,0.99589017752037534,0.91,135
151,0.99751771638172371,0.92,135
150,0.99896782269088147,0.93,135
149,0.99965954979130967,0.94,135
148,0.99994669897144006,0.95,135
148,0.9999978520980326,0.96,135
148,0.99999997633678683,0.97,135
148,0.9999999999754885,0.98,135
148,1.0000000000000406,0.99,135
