optimalnumber,probabilityrange,probability,capacity
1538,0.67148190539407415,0.1,150
1398,0.67418367564000325,0.11,150
1282,0.67692023295176973,0.12,150
1183,0.67968668934065524,0.13,150
1099,0.6824818364746037,0.14,150
1025,0.68531180532717251,0.15,150
961,0.68817908768022629,0.16,150
905,0.69107710806499578,0.17,150
854,0.69400327981771237,0.18,150
809,0.69696950214131659,0.19,150
769,0.69998804740393961,0.2,150
732,0.70301933269654326,0.21,150
699,0.70610697996887628,0.22,150
669,0.70920804317741348,0.23,150
641,0.71237017933412716,0.24,150
615,0.71556859136439921,0.25,150
591,0.71877452335842384,0.26,150
570,0.72204370314719746,0.27,150
549,0.7253861061450908,0.28,150
530,0.72873805000635139,0.29,150
513,0.73210983523618567,0.3,150
496,0.73559124115845609,0.31,150
481,0.73902311326664605,0.32,150
466,0.74260968276588113,0.33,150
452,0.74617287339458371,0.34,150
439,0.74978405870079512,0.35,150
427,0.75348015542033397,0.36,150
416,0.75713735531986592,0.37,150
405,0.76091875271355613,0.38,150
394,0.7647666271641288,0.39,150
384,0.76859753859151581,0.4,150
375,0.77257501842092302,0.41,150
366,0.77654319455925525,0.42,150
358,0.78047354481432707,0.43,150
349,0.78454936766841965,0.44,150
342,0.78871339530508977,0.45,150
334,0.79292728395700163,0.46,150
327,0.79718983247790309,0.47,150
320,0.80143253315270013,0.48,150
314,0.80581165798194854,0.49,150
308,0.81007471324425562,0.5,150
301,0.8145509460676279,0.51,150
296,0.81915949395011689,0.52,150
290,0.82381500752340875,0.53,150
285,0.82839764523672288,0.54,150
280,0.83297570290282885,0.55,150
275,0.83773008229379153,0.56,150
270,0.84266066091125513,0.57,150
265,0.84757476952298783,0.58,150
261,0.85235201356298207,0.59,150
256,0.85739293073659018,0.6,150
252,0.86250976108044297,0.61,150
248,0.8676018408438011,0.62,150
244,0.8727220002475059,0.63,150
240,0.87779323300702561,0.64,150
237,0.88292519594519248,0.65,150
233,0.88840664997663521,0.66,150
230,0.89342608071191065,0.67,150
226,0.89897824666131543,0.68,150
223,0.90440422850619895,0.69,150
220,0.90970296110813087,0.7,150
217,0.91501961701898937,0.71,150
214,0.92042140275674844,0.72,150
211,0.9258948452206176,0.73,150
208,0.9313448397026467,0.74,150
205,0.93659657938133201,0.75,150
203,0.94156249361660804,0.76,150
200,0.94720347419467632,0.77,150
197,0.9520242875741417,0.78,150
195,0.9573881743969278,0.79,150
193,0.96187202639948444,0.8,150
190,0.96696838506456106,0.81,150
188,0.97160148675950342,0.82,150
186,0.97579358593883136,0.83,150
184,0.97967199686453721,0.84,150
181,0.98341783034055663,0.85,150
179,0.98693607124772353,0.86,150
177,0.9899979912500555,0.87,150
176,0.99269856404232182,0.88,150
174,0.99508142752484308,0.89,150
172,0.99693497091787531,0.9,150
170,0.99821943837180271,0.91,150
169,0.9990687367408102,0.92,150
167,0.9996569947505054,0.93,150
166,0.99990502756993971,0.94,150
165,0.99999082729383459,0.95,150
165,0.99999978022167868,0.96,150
165,0.99999999881600043,0.97,150
165,0.99999999999963729,0.98,150
165,1.0000000000000555,0.99,150
