optimalnumber,probabilityrange,date,department,capacity,probability,day,month
205,0.70403985245544964,02/12/2015,1,100,0.5,3,12
277,0.77057553537061163,02/12/2015,1,135,0.5,3,12
308,0.81007471324425562,02/12/2015,1,150,0.5,3,12
411,0.86116616311449112,02/12/2015,1,200,0.5,3,12
210,0.69943452957890839,03/12/2015,1,100,0.49,4,12
282,0.76613982535829828,03/12/2015,1,135,0.49,4,12
314,0.80581165798194854,03/12/2015,1,150,0.49,4,12
419,0.85734187931234729,03/12/2015,1,200,0.49,4,12
205,0.70403985245544964,04/12/2015,1,100,0.5,5,12
277,0.77057553537061163,04/12/2015,1,135,0.5,5,12
308,0.81007471324425562,04/12/2015,1,150,0.5,5,12
411,0.86116616311449112,04/12/2015,1,200,0.5,5,12
210,0.69943452957890839,05/12/2015,1,100,0.49,6,12
282,0.76613982535829828,05/12/2015,1,135,0.49,6,12
314,0.80581165798194854,05/12/2015,1,150,0.49,6,12
419,0.85734187931234729,05/12/2015,1,200,0.49,6,12
205,0.70403985245544964,07/12/2015,1,100,0.5,1,12
277,0.77057553537061163,07/12/2015,1,135,0.5,1,12
308,0.81007471324425562,07/12/2015,1,150,0.5,1,12
411,0.86116616311449112,07/12/2015,1,200,0.5,1,12
205,0.70403985245544964,08/12/2015,1,100,0.5,2,12
277,0.77057553537061163,08/12/2015,1,135,0.5,2,12
308,0.81007471324425562,08/12/2015,1,150,0.5,2,12
411,0.86116616311449112,08/12/2015,1,200,0.5,2,12
205,0.70403985245544964,09/12/2015,1,100,0.5,3,12
277,0.77057553537061163,09/12/2015,1,135,0.5,3,12
308,0.81007471324425562,09/12/2015,1,150,0.5,3,12
411,0.86116616311449112,09/12/2015,1,200,0.5,3,12
210,0.69943452957890839,10/12/2015,1,100,0.49,4,12
282,0.76613982535829828,10/12/2015,1,135,0.49,4,12
314,0.80581165798194854,10/12/2015,1,150,0.49,4,12
419,0.85734187931234729,10/12/2015,1,200,0.49,4,12
210,0.69943452957890839,11/12/2015,1,100,0.49,5,12
282,0.76613982535829828,11/12/2015,1,135,0.49,5,12
314,0.80581165798194854,11/12/2015,1,150,0.49,5,12
419,0.85734187931234729,11/12/2015,1,200,0.49,5,12
214,0.69482467011973614,12/12/2015,1,100,0.48,6,12
288,0.76159738698802204,12/12/2015,1,135,0.48,6,12
320,0.80143253315270013,12/12/2015,1,150,0.48,6,12
428,0.8533736228424269,12/12/2015,1,200,0.48,6,12
205,0.70403985245544964,14/12/2015,1,100,0.5,1,12
277,0.77057553537061163,14/12/2015,1,135,0.5,1,12
308,0.81007471324425562,14/12/2015,1,150,0.5,1,12
411,0.86116616311449112,14/12/2015,1,200,0.5,1,12
210,0.69943452957890839,15/12/2015,1,100,0.49,2,12
282,0.76613982535829828,15/12/2015,1,135,0.49,2,12
314,0.80581165798194854,15/12/2015,1,150,0.49,2,12
419,0.85734187931234729,15/12/2015,1,200,0.49,2,12
205,0.70403985245544964,16/12/2015,1,100,0.5,3,12
277,0.77057553537061163,16/12/2015,1,135,0.5,3,12
308,0.81007471324425562,16/12/2015,1,150,0.5,3,12
411,0.86116616311449112,16/12/2015,1,200,0.5,3,12
210,0.69943452957890839,17/12/2015,1,100,0.49,4,12
282,0.76613982535829828,17/12/2015,1,135,0.49,4,12
314,0.80581165798194854,17/12/2015,1,150,0.49,4,12
419,0.85734187931234729,17/12/2015,1,200,0.49,4,12
210,0.69943452957890839,18/12/2015,1,100,0.49,5,12
282,0.76613982535829828,18/12/2015,1,135,0.49,5,12
314,0.80581165798194854,18/12/2015,1,150,0.49,5,12
